Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA],Cost of animal-source foods [CoHD_asf],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of fruits [CoHD_f],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost of legumes, nuts and seeds [CoHD_lns]","Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats [CoHD_of],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 2.0,FPN 2.0,East Asia & Pacific,EAS,2021,YR2021,..,3.759,..,..,..,..,4.21,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.8,..,..,517.6,2306270268
Food Prices for Nutrition 2.0,FPN 2.0,Ecuador,ECU,2017,YR2017,0.65,2.489,0.586,2.243,0.314,1.204,2.788,2.07,2.512,1.348,0.753,0.93,0.329,0.41,0.341,0.42,0.129,0.16,0.81,0.426,0.53,0.27,0.118,0.122,0.046,0.153,0.291,4.4,14.8,17.6,0.7,2.5,2.9,16696944
Food Prices for Nutrition 2.0,FPN 2.0,Ecuador,ECU,2018,YR2018,..,2.514,..,..,..,..,2.816,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.3,..,..,3.1,17015672
Food Prices for Nutrition 2.0,FPN 2.0,Ecuador,ECU,2019,YR2019,..,2.554,..,..,..,..,2.861,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.8,..,..,3.4,17343740
Food Prices for Nutrition 2.0,FPN 2.0,Ecuador,ECU,2020,YR2020,..,2.614,..,..,..,..,2.928,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.1,..,..,4.4,17588595
Food Prices for Nutrition 2.0,FPN 2.0,Ecuador,ECU,2021,YR2021,..,2.71,..,..,..,..,3.035,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.7,..,..,3.5,17797737
Food Prices for Nutrition 2.0,FPN 2.0,"Egypt, Arab Rep.",EGY,2017,YR2017,0.286,3.087,0.189,2.045,0.082,0.882,3.457,3.5,2.29,0.988,1.209,2.08,0.531,0.92,0.384,0.66,0.264,0.46,0.58,0.489,0.84,0.35,0.154,0.111,0.076,0.141,0.168,1,33.5,67.4,1,34.1,68.6,101789386
Food Prices for Nutrition 2.0,FPN 2.0,"Egypt, Arab Rep.",EGY,2018,YR2018,..,3.131,..,..,..,..,3.507,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.1,..,..,72.7,103740765
Food Prices for Nutrition 2.0,FPN 2.0,"Egypt, Arab Rep.",EGY,2019,YR2019,..,3.128,..,..,..,..,3.503,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.2,..,..,70.9,105618671
Food Prices for Nutrition 2.0,FPN 2.0,"Egypt, Arab Rep.",EGY,2020,YR2020,..,3.008,..,..,..,..,3.369,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.2,..,..,67.9,107465134
Food Prices for Nutrition 2.0,FPN 2.0,"Egypt, Arab Rep.",EGY,2021,YR2021,..,3.13,..,..,..,..,3.506,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.6,..,..,67.3,109262178
Food Prices for Nutrition 2.0,FPN 2.0,El Salvador,SLV,2017,YR2017,..,..,1.089,5.238,0.271,1.304,..,..,5.866,1.46,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6266654
Food Prices for Nutrition 2.0,FPN 2.0,El Salvador,SLV,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,El Salvador,SLV,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,El Salvador,SLV,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,El Salvador,SLV,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Equatorial Guinea,GNQ,2017,YR2017,0.365,3.148,0.193,1.665,0.08,0.686,3.526,4.59,1.865,0.768,0.804,1.29,0.593,0.95,0.234,0.38,0.119,0.19,0.623,1.152,1.85,0.228,0.168,0.066,0.034,0.327,0.177,..,..,..,..,..,..,1450694
Food Prices for Nutrition 2.0,FPN 2.0,Equatorial Guinea,GNQ,2018,YR2018,..,3.213,..,..,..,..,3.599,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1502091
Food Prices for Nutrition 2.0,FPN 2.0,Equatorial Guinea,GNQ,2019,YR2019,..,3.246,..,..,..,..,3.635,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1553031
Food Prices for Nutrition 2.0,FPN 2.0,Equatorial Guinea,GNQ,2020,YR2020,..,3.282,..,..,..,..,3.676,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1596049
Food Prices for Nutrition 2.0,FPN 2.0,Equatorial Guinea,GNQ,2021,YR2021,..,3.349,..,..,..,..,3.751,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1634466
Food Prices for Nutrition 2.0,FPN 2.0,Estonia,EST,2017,YR2017,0.372,2.79,0.304,2.28,0.05,0.373,3.125,7.48,2.554,0.418,0.752,2.26,0.742,2.23,0.671,2.02,0.085,0.26,0.333,0.542,1.63,0.241,0.237,0.215,0.027,0.173,0.107,0.2,0.8,1,0,0,0,1317384
Food Prices for Nutrition 2.0,FPN 2.0,Estonia,EST,2018,YR2018,..,2.846,..,..,..,..,3.188,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,..,..,0,1321977
Food Prices for Nutrition 2.0,FPN 2.0,Estonia,EST,2019,YR2019,..,2.932,..,..,..,..,3.284,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3,..,..,0,1326898
Food Prices for Nutrition 2.0,FPN 2.0,Estonia,EST,2020,YR2020,..,2.991,..,..,..,..,3.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1,..,..,0,1329522
Food Prices for Nutrition 2.0,FPN 2.0,Estonia,EST,2021,YR2021,..,2.938,..,..,..,..,3.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,..,..,0,1330932
Food Prices for Nutrition 2.0,FPN 2.0,Eswatini,SWZ,2017,YR2017,0.562,3.061,0.368,2.004,0.153,0.831,3.428,3.68,2.244,0.931,1.136,2.25,0.524,1.04,0.342,0.68,0.154,0.3,0.506,0.766,1.51,0.331,0.153,0.1,0.045,0.223,0.148,26.6,64.4,77.1,0.3,0.7,0.9,1151390
Food Prices for Nutrition 2.0,FPN 2.0,Eswatini,SWZ,2018,YR2018,..,2.99,..,..,..,..,3.349,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.8,..,..,0.9,1160428
Food Prices for Nutrition 2.0,FPN 2.0,Eswatini,SWZ,2019,YR2019,..,3.031,..,..,..,..,3.395,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75,..,..,0.9,1169613
Food Prices for Nutrition 2.0,FPN 2.0,Eswatini,SWZ,2020,YR2020,..,3.041,..,..,..,..,3.406,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.3,..,..,0.9,1180655
Food Prices for Nutrition 2.0,FPN 2.0,Eswatini,SWZ,2021,YR2021,..,3.158,..,..,..,..,3.537,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.8,..,..,0.9,1192271
Food Prices for Nutrition 2.0,FPN 2.0,Ethiopia,ETH,2017,YR2017,2.188,2.775,1.411,1.789,0.508,0.644,3.108,4.31,2.004,0.721,0.882,1.99,0.777,1.75,0.271,0.61,0.189,0.43,0.444,0.545,1.23,0.284,0.25,0.087,0.061,0.175,0.143,7.7,62.7,85.8,8.4,67.8,92.9,108197950
Food Prices for Nutrition 2.0,FPN 2.0,Ethiopia,ETH,2018,YR2018,..,2.81,..,..,..,..,3.147,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.1,..,..,93.4,111129438
Food Prices for Nutrition 2.0,FPN 2.0,Ethiopia,ETH,2019,YR2019,..,2.938,..,..,..,..,3.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.4,..,..,95.2,114120594
Food Prices for Nutrition 2.0,FPN 2.0,Ethiopia,ETH,2020,YR2020,..,3.042,..,..,..,..,3.407,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.3,..,..,97.6,117190911
Food Prices for Nutrition 2.0,FPN 2.0,Ethiopia,ETH,2021,YR2021,..,3.309,..,..,..,..,3.706,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.8,..,..,100.8,120283026
Food Prices for Nutrition 2.0,FPN 2.0,Europe & Central Asia,ECS,2017,YR2017,0.406,2.637,0.309,1.993,0.078,0.487,2.954,1.32347670250896,2.232,0.545,0.749,2.01,0.684,1.84,0.371,1,0.09,0.24,0.372,0.687,1.85,0.254,0.232,0.126,0.03,0.233,0.126,0.2,2,3.8,2,16.9,31.7,826577667
Food Prices for Nutrition 2.0,FPN 2.0,Europe & Central Asia,ECS,2018,YR2018,..,2.694,..,..,..,..,3.017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.3,..,..,27.2,829040196
Food Prices for Nutrition 2.0,FPN 2.0,Europe & Central Asia,ECS,2019,YR2019,..,2.786,..,..,..,..,3.12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.4,..,..,28.3,830965742
Food Prices for Nutrition 2.0,FPN 2.0,Europe & Central Asia,ECS,2020,YR2020,..,2.81,..,..,..,..,3.147,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.4,..,..,28.2,832392458
Food Prices for Nutrition 2.0,FPN 2.0,Europe & Central Asia,ECS,2021,YR2021,..,2.853,..,..,..,..,3.195,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.1,..,..,25.4,832645095
Food Prices for Nutrition 2.0,FPN 2.0,Fiji,FJI,2017,YR2017,0.468,3.225,0.331,2.284,0.11,0.758,3.612,4.25,2.558,0.849,1.001,1.94,0.914,1.77,0.198,0.38,0.187,0.36,0.516,0.795,1.54,0.277,0.253,0.055,0.052,0.22,0.143,0.2,21.3,44.9,0,0.2,0.4,919019
Food Prices for Nutrition 2.0,FPN 2.0,Fiji,FJI,2018,YR2018,..,3.283,..,..,..,..,3.677,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.8,..,..,0.4,918996
Food Prices for Nutrition 2.0,FPN 2.0,Fiji,FJI,2019,YR2019,..,3.445,..,..,..,..,3.858,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.9,..,..,0.5,918465
Food Prices for Nutrition 2.0,FPN 2.0,Fiji,FJI,2020,YR2020,..,3.495,..,..,..,..,3.914,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.8,..,..,0.5,920422
Food Prices for Nutrition 2.0,FPN 2.0,Fiji,FJI,2021,YR2021,..,3.891,..,..,..,..,4.358,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.7,..,..,0.6,924610
Food Prices for Nutrition 2.0,FPN 2.0,Finland,FIN,2017,YR2017,0.358,2.272,0.347,2.201,0.039,0.25,2.545,9.09,2.465,0.28,0.543,2.78,0.597,3.06,0.407,2.09,0.077,0.39,0.195,0.727,3.73,0.213,0.235,0.16,0.03,0.286,0.077,0.1,0.1,0.1,0,0,0,5508214
Food Prices for Nutrition 2.0,FPN 2.0,Finland,FIN,2018,YR2018,..,2.343,..,..,..,..,2.624,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0,5515525
Food Prices for Nutrition 2.0,FPN 2.0,Finland,FIN,2019,YR2019,..,2.414,..,..,..,..,2.704,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,0,5521606
Food Prices for Nutrition 2.0,FPN 2.0,Finland,FIN,2020,YR2020,..,2.439,..,..,..,..,2.732,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,0,5529543
Food Prices for Nutrition 2.0,FPN 2.0,Finland,FIN,2021,YR2021,..,2.425,..,..,..,..,2.716,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,5541017
Food Prices for Nutrition 2.0,FPN 2.0,France,FRA,2017,YR2017,0.373,2.621,0.238,1.673,0.04,0.281,2.936,9.32,1.874,0.315,0.64,2.6,0.859,3.49,0.277,1.13,0.066,0.27,0.246,0.848,3.45,0.218,0.293,0.094,0.022,0.289,0.084,0,0,0.1,0,0,0,66918020
Food Prices for Nutrition 2.0,FPN 2.0,France,FRA,2018,YR2018,..,2.696,..,..,..,..,3.019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,0.1,67158348
Food Prices for Nutrition 2.0,FPN 2.0,France,FRA,2019,YR2019,..,2.837,..,..,..,..,3.177,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,0.2,67388001
Food Prices for Nutrition 2.0,FPN 2.0,France,FRA,2020,YR2020,..,2.891,..,..,..,..,3.238,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,0.2,67571107
Food Prices for Nutrition 2.0,FPN 2.0,France,FRA,2021,YR2021,..,2.905,..,..,..,..,3.254,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0.1,67749632
Food Prices for Nutrition 2.0,FPN 2.0,Gabon,GAB,2017,YR2017,0.773,2.998,0.592,2.295,0.22,0.854,3.358,3.51,2.57,0.956,0.735,1.33,0.568,1.03,0.221,0.4,0.106,0.19,0.553,1.174,2.12,0.219,0.169,0.066,0.032,0.35,0.165,1.3,16.3,28.5,0,0.3,0.6,2140215
Food Prices for Nutrition 2.0,FPN 2.0,Gabon,GAB,2018,YR2018,..,3.038,..,..,..,..,3.403,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.6,..,..,0.6,2192012
Food Prices for Nutrition 2.0,FPN 2.0,Gabon,GAB,2019,YR2019,..,3.112,..,..,..,..,3.485,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.4,..,..,0.6,2242785
Food Prices for Nutrition 2.0,FPN 2.0,Gabon,GAB,2020,YR2020,..,3.172,..,..,..,..,3.553,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.9,..,..,0.7,2292573
Food Prices for Nutrition 2.0,FPN 2.0,Gabon,GAB,2021,YR2021,..,3.307,..,..,..,..,3.704,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.9,..,..,0.7,2341179
Food Prices for Nutrition 2.0,FPN 2.0,"Gambia, The",GMB,2017,YR2017,1.167,2.627,1.003,2.258,0.39,0.878,2.942,2.99,2.529,0.983,0.589,1.2,0.659,1.34,0.141,0.29,0.165,0.34,0.49,0.897,1.83,0.2,0.224,0.048,0.056,0.305,0.167,10.6,63.9,72.6,0.3,1.5,1.7,2381182
Food Prices for Nutrition 2.0,FPN 2.0,"Gambia, The",GMB,2018,YR2018,..,2.686,..,..,..,..,3.008,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.8,..,..,1.7,2444916
Food Prices for Nutrition 2.0,FPN 2.0,"Gambia, The",GMB,2019,YR2019,..,2.727,..,..,..,..,3.054,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.6,..,..,1.7,2508883
Food Prices for Nutrition 2.0,FPN 2.0,"Gambia, The",GMB,2020,YR2020,..,2.777,..,..,..,..,3.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.8,..,..,1.8,2573995
Food Prices for Nutrition 2.0,FPN 2.0,"Gambia, The",GMB,2021,YR2021,..,2.968,..,..,..,..,3.324,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.2,..,..,1.9,2639916
Food Prices for Nutrition 2.0,FPN 2.0,Germany,DEU,2017,YR2017,0.384,2.488,0.307,1.986,0.036,0.234,2.786,10.63,2.224,0.262,0.666,2.83,0.714,3.04,0.301,1.28,0.052,0.22,0.235,0.816,3.47,0.239,0.256,0.108,0.019,0.293,0.084,0.2,0.7,0.7,0.2,0.6,0.6,82657002
Food Prices for Nutrition 2.0,FPN 2.0,Germany,DEU,2018,YR2018,..,2.604,..,..,..,..,2.917,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0.2,82905782
Food Prices for Nutrition 2.0,FPN 2.0,Germany,DEU,2019,YR2019,..,2.664,..,..,..,..,2.984,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0.2,83092962
Food Prices for Nutrition 2.0,FPN 2.0,Germany,DEU,2020,YR2020,..,2.713,..,..,..,..,3.038,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0.2,83160871
Food Prices for Nutrition 2.0,FPN 2.0,Germany,DEU,2021,YR2021,..,2.752,..,..,..,..,3.082,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0.2,83196078
Food Prices for Nutrition 2.0,FPN 2.0,Ghana,GHA,2017,YR2017,2.288,3.363,1.528,2.246,0.501,0.736,3.767,4.57,2.516,0.824,1.235,2.24,0.395,0.72,0.172,0.31,0.15,0.27,0.552,1.263,2.29,0.328,0.105,0.046,0.04,0.335,0.147,14.9,62.9,80,4.5,19,24.2,30222262
Food Prices for Nutrition 2.0,FPN 2.0,Ghana,GHA,2018,YR2018,..,3.446,..,..,..,..,3.86,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.6,..,..,24.3,30870641
Food Prices for Nutrition 2.0,FPN 2.0,Ghana,GHA,2019,YR2019,..,3.52,..,..,..,..,3.942,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77,..,..,24.3,31522290
Food Prices for Nutrition 2.0,FPN 2.0,Ghana,GHA,2020,YR2020,..,3.604,..,..,..,..,4.036,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.1,..,..,25.1,32180401
Food Prices for Nutrition 2.0,FPN 2.0,Ghana,GHA,2021,YR2021,..,3.783,..,..,..,..,4.237,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77.4,..,..,25.4,32833031
Food Prices for Nutrition 2.0,FPN 2.0,Greece,GRC,2017,YR2017,0.345,2.712,0.291,2.283,0.076,0.6,3.037,4.52,2.557,0.672,0.797,1.94,0.581,1.42,0.41,1,0.096,0.23,0.41,0.742,1.81,0.262,0.191,0.135,0.032,0.244,0.135,0.5,2.5,3.8,0.1,0.3,0.4,10754679
Food Prices for Nutrition 2.0,FPN 2.0,Greece,GRC,2018,YR2018,..,2.77,..,..,..,..,3.102,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.1,..,..,0.2,10732882
Food Prices for Nutrition 2.0,FPN 2.0,Greece,GRC,2019,YR2019,..,2.828,..,..,..,..,3.167,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.9,..,..,0.3,10721582
Food Prices for Nutrition 2.0,FPN 2.0,Greece,GRC,2020,YR2020,..,2.804,..,..,..,..,3.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7,..,..,0.3,10698599
Food Prices for Nutrition 2.0,FPN 2.0,Greece,GRC,2021,YR2021,..,2.834,..,..,..,..,3.174,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.2,..,..,0.2,10641221
Food Prices for Nutrition 2.0,FPN 2.0,Grenada,GRD,2017,YR2017,0.67,4.805,0.469,3.363,0.165,1.186,5.382,4.05,3.767,1.328,1.335,1.71,1.207,1.55,0.69,0.88,0.18,0.23,0.781,1.189,1.52,0.248,0.224,0.128,0.033,0.221,0.145,..,..,..,..,..,..,120921
Food Prices for Nutrition 2.0,FPN 2.0,Grenada,GRD,2018,YR2018,..,4.943,..,..,..,..,5.536,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,121838
Food Prices for Nutrition 2.0,FPN 2.0,Grenada,GRD,2019,YR2019,..,5.022,..,..,..,..,5.625,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,122724
Food Prices for Nutrition 2.0,FPN 2.0,Grenada,GRD,2020,YR2020,..,5.175,..,..,..,..,5.796,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,123663
Food Prices for Nutrition 2.0,FPN 2.0,Grenada,GRD,2021,YR2021,..,5.444,..,..,..,..,6.097,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,124610
Food Prices for Nutrition 2.0,FPN 2.0,Guinea,GIN,2017,YR2017,0.995,3.263,0.603,1.978,0.246,0.807,3.655,4.04,2.215,0.904,0.559,1.13,0.453,0.92,0.188,0.38,0.179,0.36,0.495,1.781,3.6,0.153,0.124,0.051,0.049,0.487,0.135,8.6,61.6,88.5,1.1,7.5,10.8,12240789
Food Prices for Nutrition 2.0,FPN 2.0,Guinea,GIN,2018,YR2018,..,3.449,..,..,..,..,3.863,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89,..,..,11.2,12554864
Food Prices for Nutrition 2.0,FPN 2.0,Guinea,GIN,2019,YR2019,..,3.572,..,..,..,..,4.001,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.8,..,..,11.4,12877539
Food Prices for Nutrition 2.0,FPN 2.0,Guinea,GIN,2020,YR2020,..,3.685,..,..,..,..,4.127,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.7,..,..,11.7,13205153
Food Prices for Nutrition 2.0,FPN 2.0,Guinea,GIN,2021,YR2021,..,3.967,..,..,..,..,4.443,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.1,..,..,12.1,13531906
Food Prices for Nutrition 2.0,FPN 2.0,Guinea-Bissau,GNB,2017,YR2017,0.893,2.825,0.524,1.658,0.261,0.826,3.164,3.42,1.857,0.925,0.569,0.99,0.528,0.92,0.069,0.12,0.146,0.25,0.576,1.277,2.22,0.18,0.167,0.022,0.046,0.404,0.182,18.3,59.7,84.4,0.3,1.1,1.6,1879826
Food Prices for Nutrition 2.0,FPN 2.0,Guinea-Bissau,GNB,2018,YR2018,..,2.905,..,..,..,..,3.254,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.9,..,..,1.6,1924955
Food Prices for Nutrition 2.0,FPN 2.0,Guinea-Bissau,GNB,2019,YR2019,..,2.978,..,..,..,..,3.335,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.9,..,..,1.6,1970457
Food Prices for Nutrition 2.0,FPN 2.0,Guinea-Bissau,GNB,2020,YR2020,..,3.066,..,..,..,..,3.434,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.9,..,..,1.7,2015828
Food Prices for Nutrition 2.0,FPN 2.0,Guinea-Bissau,GNB,2021,YR2021,..,3.298,..,..,..,..,3.694,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.6,..,..,1.7,2060721
Food Prices for Nutrition 2.0,FPN 2.0,Guyana,GUY,2017,YR2017,1.179,4.133,0.918,3.22,0.185,0.649,4.629,6.37,3.606,0.727,0.922,1.81,1.282,2.52,0.666,1.31,0.132,0.26,0.509,1.117,2.19,0.199,0.277,0.144,0.029,0.241,0.11,4.4,31.7,45,0,0.2,0.3,763252
Food Prices for Nutrition 2.0,FPN 2.0,Guyana,GUY,2018,YR2018,..,4.234,..,..,..,..,4.742,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.5,..,..,0.3,785514
Food Prices for Nutrition 2.0,FPN 2.0,Guyana,GUY,2019,YR2019,..,4.311,..,..,..,..,4.828,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42,..,..,0.3,798753
